sample_name,mill_type,rpm,time_h,bpr,impact,log_time,intensity,milling_rate,mill_Planetary,mill_High-Energy,mill_Multiple,mill_Attritor,hardness_hv,strength_hv
TiAl-25-75,Planetary,359,8.9,10.0,191706,6.2823,19170.6,0.6723,1,0,0,0,224.67,763.88
TiAl-48,Multiple,359,8.9,2.5,191706,6.2823,76682.4,0.6723,0,0,1,0,224.67,763.88
TiAl-48,Attritor,400,1.0,20.0,24000,4.1109,1200.0,6.6667,0,0,0,1,450.0,1530.0
TiAl-48,Planetary,359,8.9,10.6,191706,6.2823,18085.4717,0.6723,1,0,0,0,224.67,763.88
TiAl-50,Attritor,600,5.0,10.0,180000,5.7071,18000.0,2.0,0,0,0,1,224.65,763.81
TiAl-48,Attritor,600,8.0,10.0,288000,6.1759,28800.0,1.25,0,0,0,1,224.61,763.67
TiAl-45,High-Energy,550,40.0,10.0,1320000,7.7836,132000.0,0.2292,0,1,0,0,219.78,747.25
TiAl-46,Planetary,300,4.0,5.0,72000,5.4848,14400.0,1.25,1,0,0,0,224.72,764.05
TiAl-48,Planetary,250,12.0,5.0,180000,6.5806,36000.0,0.3472,1,0,0,0,224.52,763.37
TiAl-50,Planetary,357,2.0,10.4,42840,4.7958,4119.2308,2.975,1,0,0,0,224.69,763.95
TiAl-20,High-Energy,500,8.9167,10.0,267500,6.2841,26750.0,0.9346,0,1,0,0,224.63,763.74
TiAl-48,Attritor,270,12.0,20.0,194400,6.5806,9720.0,0.375,0,0,0,1,224.53,763.4
TiAl-44,Planetary,160,2.0,10.0,19200,4.7958,1920.0,1.3333,1,0,0,0,527.14,1792.28
TiAl-44,Planetary,300,2.0,10.0,36000,4.7958,3600.0,2.5,1,0,0,0,527.14,1792.28
TiAl-44,Planetary,400,2.0,10.0,48000,4.7958,4800.0,3.3333,1,0,0,0,527.14,1792.28
TiAl-48,Multiple,200,15.0,15.0,180000,6.8035,12000.0,0.2222,0,0,1,0,224.31,762.65
TiAl-48,Multiple,300,25.0,15.0,450000,7.3139,30000.0,0.2,0,0,1,0,223.12,758.61
TiAl-48,Planetary,300,0.5,10.0,9000,3.434,900.0,10.0,1,0,0,0,224.64,763.78
TiAl-48,High-Energy,359,8.9,10.6,191706,6.2823,18085.4717,0.6723,0,1,0,0,1224.49,4163.27
TiAl-48,High-Energy,250,3.0,8.0,45000,5.1985,5625.0,1.3889,0,1,0,0,340.0,1156.0
