sample_id,sample_name,mill_type,rpm,Time,bpr_reported,hardness_hv,strength_hv
U01,TiAl-25-75,Planetary,359,534,10.0:1,224.67,763.88
U02,TiAl-48,Multiple,359,534,2.5:1,224.67,763.88
U03,TiAl-48,Attritor,400,60,20.0:1,450.0,1530.0
U04,TiAl-48,Planetary,359,534,10.6:1,224.67,763.88
U05,TiAl-50,Attritor,600,300,10.0:1,224.65,763.81
U06,TiAl-48,Attritor,600,480,10.0:1,224.61,763.67
U07,TiAl-45,High-Energy,550,2400,10.0:1,219.78,747.25
U08,TiAl-46,Planetary,300,240,5.0:1,224.72,764.05
U09,TiAl-48,Planetary,250,720,5.0:1,224.52,763.37
U10,TiAl-50,Planetary,357,120,10.4:1,224.69,763.95
U11,TiAl-20,High-Energy,500,535,10.0:1,224.63,763.74
U12,TiAl-48,Attritor,270,720,20.0:1,224.53,763.4
U13a,TiAl-44,Planetary,160,120,10.0:1,527.14,1792.28
U13b,TiAl-44,Planetary,300,120,10.0:1,527.14,1792.28
U13c,TiAl-44,Planetary,400,120,10.0:1,527.14,1792.28
U14,TiAl-48,Multiple,200,900,15.0:1,224.31,762.65
U15,TiAl-48,Multiple,300,1500,15.0:1,223.12,758.61
U16,TiAl-48,Planetary,300,30,10.0:1,224.64,763.78
U17,TiAl-48,High-Energy,359,534,10.6:1,1224.49,4163.27
U18,TiAl-48,High-Energy,250,180,8.0:1,340.0,1156.0
