Serial_id,alloy_composition,mill_type,RPM,Time,BPR,mechanical_property
1,Ti-37.5Al,Planetary,359,107.5,10.0,0.501
2,Ti-48Al,Multiple,359,13.0,9.25,0.5263
3,Ti-48Al,Attritor,400,1.0,20.0,0.4502
4,Ti-48Al,Planetary,359,40.0,11.01,0.574
5,Ti-50Al,Attritor,600,5.0,10.0,0.4697
6,Ti-48Al,Attritor,600,8.0,10.0,0.4719
7,Ti-45Al,High-Energy,550,40.0,10.0,0.4999
8,Ti-46Al,Planetary,300,4.0,5.0,1.0
9,Ti-48Al,Planetary,250,12.0,5.0,0.5395
10,Ti-50Al,Planetary,359,2.0,11.02,0.4725
11,Ti-20Al,High-Energy,500,12.5,10.0,0.4713
12,Ti-48Al,Attritor,270,12.0,20.0,0.5326
13,Ti-44Al,Planetary,160,2.0,10.0,0.2118
14,Ti-44Al,Planetary,300,2.0,10.0,0.2118
15,Ti-44Al,Planetary,400,2.0,10.0,0.2118
16,Ti-48Al,Dry,200,15.0,15.0,0.4513
17,Ti-48Al,Wet,300,25.0,15.0,0.5327
18,Ti-48Al,Planetry,300,0.5,10.0,0.2432
19,Ti-48Al,High-Energy,359,16.13,11.01,1.0
20,Ti-48Al,High-Energy,250,3.0,8.0,620
