record_id,alloy_composition,mill_type_class,RPM,Time,BPR,Grain_size,Density,Density_value,Hardness,strength_type,strength_MPa,key_findings
U01,Ti-(25-75)Al series; Ti50Al50 highlighted,Planetary,"Intensity setting 5-7 (non-rpm energy scale, not comparable to rpm)",10-205 h (broad multi-condition sweep),10:1,9-35 nm across series; 17 nm reported specifically for Ti50Al50,NaN,NaN,NaN,NaN,NaN,Foundational paper: extended solid solubility up to 60 at.% Al in hcp-Ti achievable by milling. Classic reference point for the Ti-Al metastable-phase field.
U02,"Ti-48Al / Ti-46.5Al-4(Cr,Nb,Ta,B)",Multiple (SPEX / Planetary / Attritor),"N/A - varies by mill type, not reducible to one rpm",1-25 h (multi-condition study),2.5:1 - 16:1,5-10 nm,NaN,NaN,NaN,NaN,NaN,"Powder yield 65-80% with the right PCA; without PCA, sticking/cold-welding can push yield toward zero. Disordered hcp phase precedes nanocrystalline TiAl formation."
U03,"Ti-48 at.% Al (reported as Ti-36 wt.% Al in Lit source; same alloy, different unit basis)",Attritor (High-Energy),400 rpm,0.5-8 h (Optimal: 1 h),20:1,5-10 um duplex (post reactive-sintering; confirmed independently in both source rows),98.8% relative density,98.8,450 HV,Compressive Yield (RT),1120,1 h milling was the identified optimum (longer added little). Yield strength retains ~80% of its RT value at 800 C. Grain size and process route cross-confirmed across both sources.
U04,Ti-48Al + Nb/Al/Cr additions (incl. TiAl-4Nb-2.5Al-1Cr variant),Planetary (High-Energy),NaN,"10 h (nanocrystalline); 30-50 h (amorphous, Nb-Al-Cr variant)",NaN,"Nanocrystalline (categorical, no numeric value in abstract)",NaN,NaN,NaN,NaN,NaN,"Alloying shifts amorphization kinetics: base Ti-48Al is nanocrystalline by 10h, but the Nb/Al/Cr-modified variant needs 30-50h to fully amorphize under the same mill."
U05,Ti-50Al,Attritor,600 rpm,5 h,10:1,NaN,NaN,NaN,NaN,NaN,NaN,"Particle size cut ~60% after 5h; submicron powder achieved. Without PCA, severe cold-welding/sticking occurred. Shares a DOI with U06 (P05) - same paper, different alloy tested."
U06,Ti-48Al-2Cr-2Nb,Attritor,600 rpm,8 h,10:1,NaN,NaN,NaN,NaN,NaN,NaN,Fully lamellar microstructure after consolidation. Same publication as U05 (P04); this row is the industry-standard Ti-48-2-2 composition variant.
U07,Ti-45Al-5Nb,High-Energy (Type Unspecified),550 rpm,40 h,10:1,"Nanometer-scale powder (categorical, no numeric value)",NaN,NaN,NaN,NaN,NaN,Starting powders >50 um milled to nanometer scale after 40h - a >1000x linear size-reduction ratio. Final consolidated part is duplex gamma+alpha2.
U08,Ti-46Al-2Cr-2Nb + 0-40 vol% Ti2AlC,Planetary,300 rpm,4 h,5:1,"~5 um network cells (Ti2AlC reinforcement network spacing, not bulk matrix grain size)",>99% relative density (lower-bound of stated range used),99,4.8-7.2 GPa (across the 0-40 vol% Ti2AlC composite series),Compressive,2058,Ti2AlC reinforcement raises hardness up to 7.2 GPa and cuts wear ~7x - a hardness/wear gain traded against added composite-processing complexity.
U09,Ti-48Al-2Cr-8Nb,Planetary,250 rpm,12 h,5:1,NaN,NaN,NaN,NaN,NaN,NaN,Milled powder benchmarked directly against gas-atomized spherical powder as SPS feedstock - a cheaper/more available route compared head-to-head with premium gas-atomized stock.
U10,Ti-50Al,Planetary,NaN,2 h,NaN,"17.8 nm (crystallite size, XRD)",NaN,NaN,NaN,NaN,NaN,"As-milled Ti(Al) solid solution converts to TiAl3-dominant + minor gamma/alpha2 on heating to 850 C. Its 17.8 nm crystallite size is numerically close to Oehring 1993's Ti50Al50 value (17 nm, U01) - flagged as a notable convergence, NOT merged as a duplicate, since year/journal/rpm do not otherwise match."
