Sample,Z_Score_>3,Z_Score_>2,Modified_Z,IQR_1.5x,IQR_3.0x,IsoForest,LOF,Mahalanobis,Votes_of_6
TiAl-48,1,1,1,1,1,1,1,0,5
TiAl-45,1,1,1,1,1,1,1,0,5
TiAl-48,1,1,1,1,1,1,1,0,5
TiAl-48,0,1,1,1,1,1,0,0,3
TiAl-48,0,0,1,1,1,0,0,0,2
TiAl-48,0,0,1,1,1,0,0,0,2
TiAl-46,0,0,1,1,1,0,0,0,2
TiAl-48,0,0,1,1,1,0,0,0,2
TiAl-48,0,0,1,1,1,0,0,0,2
TiAl-48,0,1,1,1,1,0,0,0,2
TiAl-48,0,0,1,1,1,0,0,0,2
TiAl-50,0,1,0,1,0,0,0,0,1
TiAl-48,0,1,0,1,0,0,0,0,1
TiAl-44,0,0,1,0,0,0,0,0,1
TiAl-44,0,0,1,0,0,0,0,0,1
TiAl-44,0,0,1,0,0,0,0,0,1
TiAl-25-75,0,0,0,0,0,0,0,0,0
TiAl-50,0,0,0,0,0,0,0,0,0
TiAl-48,0,0,0,0,0,0,0,0,0
TiAl-20,0,0,0,0,0,0,0,0,0
